Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Credit_Score,Type,Currency,Lender_Name,Lender_Min_Credit_Score,Restricted_Type,Favorite_Type,Lender_Currency
LP001002,Male,No,0,Graduate,No,,360,1,Urban,Y,450,n/a,Peso,Oberbrunner-Miller,908,Other Consumer Services,n/a,Peso
LP001003,Male,Yes,1,Graduate,No,128,360,1,Rural,N,500,Industrial Specialties,Sol,"Lindgren, Trantow and Von",901,Oil Refining/Marketing,Industrial Specialties,Sol
LP001005,Male,Yes,0,Graduate,Yes,66,360,1,Urban,Y,550,Steel/Iron Ore,Rupiah,"Nicolas, Weissnat and Christiansen",874,n/a,Steel/Iron Ore,Rupiah
LP001006,Male,Yes,0,Not Graduate,No,120,360,1,Urban,Y,600,Electric Utilities: Central,Yuan Renminbi,"White, Reichert and Wuckert",306,Industrial Machinery/Components,Electric Utilities: Central,Yuan Renminbi
LP001008,Male,No,0,Graduate,No,141,360,1,Urban,Y,650,Containers/Packaging,Euro,Rohan Inc,834,Electrical Products,Containers/Packaging,Euro
LP001011,Male,Yes,2,Graduate,Yes,267,360,1,Urban,Y,700,Industrial Specialties,Zloty,Yundt and Sons,659,n/a,Industrial Specialties,Zloty
LP001013,Male,Yes,0,Not Graduate,No,95,360,1,Urban,Y,750,Medical/Dental Instruments,Shilling,Wiza LLC,584,Packaged Foods,Medical/Dental Instruments,Shilling
LP001014,Male,Yes,3+,Graduate,No,158,360,0,Semiurban,N,800,n/a,Yuan Renminbi,"Muller, Thompson and Turcotte",907,n/a,n/a,Yuan Renminbi
LP001018,Male,Yes,2,Graduate,No,168,360,1,Urban,Y,850,Industrial Machinery/Components,Yuan Renminbi,Reichel Group,491,Newspapers/Magazines,Industrial Machinery/Components,Yuan Renminbi
LP001020,Male,Yes,1,Graduate,No,349,360,1,Semiurban,N,780,Marine Transportation,Pataca,Hermann LLC,668,Computer Software: Prepackaged Software,Marine Transportation,Pataca
LP001024,Male,Yes,2,Graduate,No,70,360,1,Urban,Y,620,n/a,Yuan Renminbi,Greenholt-Leffler,720,n/a,n/a,Yuan Renminbi
LP001027,Male,Yes,2,Graduate,,109,360,1,Urban,Y,580,Engineering & Construction,Franc,Jones and Sons,326,Property-Casualty Insurers,Engineering & Construction,Franc
LP001028,Male,Yes,2,Graduate,No,200,360,1,Urban,Y,530,n/a,Rupiah,"Ryan, Lesch and Hermiston",950,Consumer Electronics/Appliances,n/a,Rupiah
LP001029,Male,No,0,Graduate,No,114,360,1,Rural,N,570,Major Pharmaceuticals,Real,Hackett Inc,337,n/a,Major Pharmaceuticals,Real
LP001030,Male,Yes,2,Graduate,No,17,120,1,Urban,Y,640,Packaged Foods,Marka,"Leannon, Ritchie and Leannon",672,Real Estate Investment Trusts,Packaged Foods,Marka
LP001032,Male,No,0,Graduate,No,125,360,1,Urban,Y,690,Marine Transportation,Yuan Renminbi,"Thiel, Gutkowski and Turcotte",929,Major Chemicals,Marine Transportation,Yuan Renminbi
LP001034,Male,No,1,Not Graduate,No,100,240,,Urban,Y,740,Biotechnology: Biological Products (No Diagnostic Substances),Krone,Gottlieb LLC,809,n/a,Biotechnology: Biological Products (No Diagnostic Substances),Krone
LP001036,Female,No,0,Graduate,No,76,360,0,Urban,N,790,Major Pharmaceuticals,Franc,"Parisian, Simonis and Will",811,n/a,Major Pharmaceuticals,Franc
LP001038,Male,Yes,0,Not Graduate,No,133,360,1,Rural,N,830,Marine Transportation,Dirham,"Treutel, Harber and Rutherford",680,Computer Software: Prepackaged Software,Marine Transportation,Dirham
LP001041,Male,Yes,0,Graduate,,115,,1,Urban,Y,870,Real Estate Investment Trusts,Yuan Renminbi,West-McGlynn,865,Oil Refining/Marketing,Real Estate Investment Trusts,Yuan Renminbi
LP001043,Male,Yes,0,Not Graduate,No,104,360,0,Urban,N,300,Oil/Gas Transmission,Ruble,Halvorson-Lehner,328,Home Furnishings,Oil/Gas Transmission,Ruble
LP001046,Male,Yes,1,Graduate,No,315,360,1,Urban,Y,350,Telecommunications Equipment,Rupiah,Effertz-Harber,484,n/a,Telecommunications Equipment,Rupiah
LP001047,Male,Yes,0,Not Graduate,No,116,360,0,Semiurban,N,400,n/a,Yuan Renminbi,Kemmer-Kuvalis,811,Aerospace,n/a,Yuan Renminbi
LP001050,,Yes,2,Not Graduate,No,112,360,0,Rural,N,450,Major Pharmaceuticals,Euro,Spinka-Grady,387,Auto Manufacturing,Major Pharmaceuticals,Euro
LP001052,Male,Yes,1,Graduate,,151,360,,Semiurban,N,500,Military/Government/Technical,Yuan Renminbi,Torphy Inc,427,Major Pharmaceuticals,Military/Government/Technical,Yuan Renminbi
LP001066,Male,Yes,0,Graduate,Yes,191,360,1,Semiurban,Y,550,Major Banks,Yuan Renminbi,"Dach, McGlynn and Quitzon",482,Industrial Machinery/Components,Major Banks,Yuan Renminbi
LP001068,Male,Yes,0,Graduate,No,122,360,1,Semiurban,Y,600,n/a,Pound,Considine LLC,815,Meat/Poultry/Fish,n/a,Pound
LP001073,Male,Yes,2,Not Graduate,No,110,360,1,Urban,Y,650,n/a,Yuan Renminbi,"Hauck, Turcotte and Wiza",736,Computer Software: Prepackaged Software,n/a,Yuan Renminbi
LP001086,Male,No,0,Not Graduate,No,35,360,1,Urban,N,700,Industrial Machinery/Components,Krona,Kuphal-Labadie,330,Consumer Electronics/Appliances,Industrial Machinery/Components,Krona
LP001087,Female,No,2,Graduate,,120,360,1,Semiurban,Y,750,n/a,Krona,Bergstrom-Bailey,942,Biotechnology: Biological Products (No Diagnostic Substances),n/a,Krona
LP001091,Male,Yes,1,Graduate,,201,360,,Urban,N,800,Life Insurance,Yuan Renminbi,"Considine, Predovic and Wiza",510,Specialty Insurers,Life Insurance,Yuan Renminbi
LP001095,Male,No,0,Graduate,No,74,360,1,Urban,N,850,Industrial Machinery/Components,Zloty,Lueilwitz-O'Kon,525,Electronic Components,Industrial Machinery/Components,Zloty
LP001097,Male,No,1,Graduate,Yes,106,360,1,Rural,N,780,Other Specialty Stores,Yuan Renminbi,Bins Inc,710,Business Services,Other Specialty Stores,Yuan Renminbi
LP001098,Male,Yes,0,Graduate,No,114,360,1,Semiurban,Y,620,Multi-Sector Companies,Yuan Renminbi,Zemlak Inc,736,EDP Services,Multi-Sector Companies,Yuan Renminbi
